route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101C,FR,110886747,C-Line Union Station,0, 101 13,981971
101C,FR,110886756,C-Line Union Station,0, 101 11,981971
101C,FR,110886764,C-Line Union Station,0, 101 11,981971
101C,FR,110886770,C-Line Union Station,0, 101 15,981971
101C,FR,110886773,C-Line Union Station,0, 101 11,981971
101C,FR,110886777,C-Line Union Station,0, 101 14,981971
101C,FR,110886806,C-Line Union Station,0, 101 35,981980
101C,FR,110886811,C-Line Union Station,0, 101 12,981971
101C,FR,110886816,C-Line Union Station,0, 101 37,981980
101C,FR,110886831,C-Line Union Station,0, 101 12,981971
101C,FR,110886835,C-Line Union Station,0, 101 14,981971
101C,FR,110886846,C-Line Union Station,0, 101 15,981971
101C,FR,110886863,C-Line Union Station,0, 101 12,981971
101C,FR,110886877,C-Line Union Station,0, 101 14,981971
101C,FR,110886882,C-Line Union Station,0, 101 15,981971
101C,FR,110886888,C-Line Union Station,0, 101 13,981971
101C,FR,110886903,C-Line Union Station,0, 101 15,981971
101C,FR,110886918,C-Line Union Station,0, 101 12,981971
101C,FR,110886952,C-Line Union Station,0, 101 11,981970
101C,FR,110886957,C-Line Union Station,0, 101 11,981971
101C,FR,110886962,C-Line Union Station,0, 101 13,981971
101C,FR,110886968,C-Line Union Station,0, 101 14,981971
101C,FR,110886971,C-Line Union Station,0, 101 36,981970
101C,FR,110887097,C-Line Union Station,0, 101 15,981971
101C,FR,110887098,C-Line Union Station,0, 101 12,981971
101C,FR,110887099,C-Line Union Station,0, 101 14,981971
101C,FR,110887100,C-Line Union Station,0, 101 15,981971
101C,FR,110887101,C-Line Union Station,0, 101 12,981971
101C,FR,110887102,C-Line Union Station,0, 101 14,981971
101C,FR,110887103,C-Line Union Station,0, 101 15,981971
101C,FR,110887104,C-Line Union Station,0, 101 12,981971
101C,FR,110887105,C-Line Union Station,0, 101 14,981971
101C,FR,110887132,C-Line Mineral,1, 101 13,982003
101C,FR,110887134,C-Line Mineral,1, 101 11,982003
101C,FR,110887135,C-Line Mineral,1, 101 31,982003
101C,FR,110887137,C-Line Mineral,1, 101 33,982003
101C,FR,110887150,C-Line Mineral,1, 101 13,982003
101C,FR,110887172,C-Line Mineral,1, 101 65,982003
101C,FR,110887202,C-Line Mineral,1, 101 13,982003
101C,FR,110887215,C-Line Mineral,1, 101 14,982003
101C,FR,110887219,C-Line Mineral,1, 101 12,982003
101C,FR,110887224,C-Line Mineral,1, 101 14,982003
101C,FR,110887230,C-Line Mineral,1, 101 15,982003
101C,FR,110887238,C-Line Mineral,1, 101 12,982003
101C,FR,110887250,C-Line Mineral,1, 101 11,982003
101C,FR,110887272,C-Line Mineral,1, 101 15,982003
101C,FR,110887275,C-Line Mineral,1, 101 12,982003
101C,FR,110887295,C-Line Mineral,1, 101 14,982003
101C,FR,110887310,C-Line Mineral,1, 101 15,982003
101C,FR,110887314,C-Line Mineral,1, 101 11,982003
101C,FR,110887319,C-Line Mineral,1, 101 14,982003
101C,FR,110887353,C-Line Mineral,1, 101 12,982003
101C,FR,110887407,C-Line Mineral,1, 101 15,982003
101C,FR,110887408,C-Line Mineral,1, 101 12,982003
101C,FR,110887420,C-Line Mineral,1, 101 14,982003
101C,FR,110887421,C-Line Mineral,1, 101 15,982003
101C,FR,110887422,C-Line Mineral,1, 101 12,982003
101C,FR,110887423,C-Line Mineral,1, 101 35,982003
101C,FR,110887424,C-Line Mineral,1, 101 14,982003
101C,FR,110887425,C-Line Mineral,1, 101 15,982003
101C,FR,110887426,C-Line Mineral,1, 101 12,982003
101C,FR,110887427,C-Line Mineral,1, 101 14,982003
101C,FR,110887428,C-Line Mineral,1, 101 15,982003
101C,FR,110887483,C-Line Mineral,1, 101 11,982003
101C,MT,110887519,C-Line Union Station,0, 101 35,981980
101C,MT,110887520,C-Line Union Station,0, 101 14,981971
101C,MT,110887521,C-Line Union Station,0, 101 15,981971
101C,MT,110887527,C-Line Union Station,0, 101 37,981980
101C,MT,110887544,C-Line Union Station,0, 101 14,981971
101C,MT,110887551,C-Line Union Station,0, 101 13,981971
101C,MT,110887558,C-Line Union Station,0, 101 11,981971
101C,MT,110887569,C-Line Union Station,0, 101 15,981971
101C,MT,110887617,C-Line Union Station,0, 101 11,981970
101C,MT,110887619,C-Line Union Station,0, 101 36,981970
101C,MT,110887660,C-Line Union Station,0, 101 12,981971
